Date,ActualCheckins,Predicted-MA,Predicted-Reg
1/1/10 0:00,650,0,812.5151151
1/2/10 0:00,1028,0,641.8112136
1/3/10 0:00,944,0,1131.799437
1/4/10 0:00,1086,0,981.2612136
1/5/10 0:00,1071,0,850.6134562
1/6/10 0:00,1498,0,1025.782802
1/7/10 0:00,977,0,1079.030033
1/8/10 0:00,899,0,1448.109028
1/9/10 0:00,801,0,924.1405107
1/10/10 0:00,1020,0,1384.140412
1/11/10 0:00,1018,0,1030.908652
1/12/10 0:00,958,0,921.1329227
1/13/10 0:00,800,0,921.1220977
1/14/10 0:00,1151,0,1015.347514
1/15/10 0:00,1825,0,1638.160146
1/16/10 0:00,814,0,728.1073628
1/17/10 0:00,1029,0,1272.681115
1/18/10 0:00,1457,0,1862.393691
1/19/10 0:00,1080,0,838.2119264
1/20/10 0:00,634,0,907.990528
1/21/10 0:00,853,0,951.9534264
1/22/10 0:00,1338,1125,1378.414937
1/23/10 0:00,1181,881,849.226773
1/24/10 0:00,1495,998,1510.641591
1/25/10 0:00,583,1187,1076.550932
1/26/10 0:00,740,1036,922.1700166
1/27/10 0:00,1000,977,848.4939715
1/28/10 0:00,1341,994,1077.896352
1/29/10 0:00,1381,1354,1466.499111
1/30/10 0:00,714,932,882.3867475
1/31/10 0:00,1392,1181,1417.385201
2/1/10 0:00,1345,1019,1173.881459
2/2/10 0:00,912,926,924.4953569
2/3/10 0:00,976,811,971.6130208
2/4/10 0:00,1178,1115,1049.253112
2/5/10 0:00,1594,1515,1518.536341
2/6/10 0:00,729,903,882.5756912
2/7/10 0:00,719,1305,739.7939194
2/8/10 0:00,1831,1128,1198.631657
2/9/10 0:00,2233,911,954.2720488
2/10/10 0:00,636,870,1016.201033
2/11/10 0:00,1148,1124,1121.122126
2/12/10 0:00,1654,1438,1444.823485
2/13/10 0:00,1321,875,775.2157211
2/14/10 0:00,1255,1202,1082.131686
2/15/10 0:00,3232,1253,2630.725027
2/16/10 0:00,520,1295,986.4713211
2/17/10 0:00,610,871,996.8232763
2/18/10 0:00,1420,1222,1145.408273
2/19/10 0:00,1471,1543,1688.802292
2/20/10 0:00,877,921,1090.993025
2/21/10 0:00,1165,1122,1474.795659
2/22/10 0:00,1143,2136,1225.902569
2/23/10 0:00,701,1222,1045.135885
2/24/10 0:00,1228,741,1060.643063
2/25/10 0:00,1322,1249,1153.958885
2/26/10 0:00,1617,1573,1470.872179
2/27/10 0:00,883,976,879.4396844
2/28/10 0:00,1454,1046,1476.775839
3/1/10 0:00,898,2069,1103.255149
3/2/10 0:00,1274,1151,865.0558215
3/3/10 0:00,997,825,949.115126
3/4/10 0:00,980,1297,1109.621824
3/5/10 0:00,1107,1581,1445.565637
3/6/10 0:00,705,1027,913.9505025
3/7/10 0:00,1110,1291,1375.910344
3/8/10 0:00,774,1758,1126.086882
3/9/10 0:00,1008,832,998.4346797
3/10/10 0:00,1227,945,937.4731513
3/11/10 0:00,949,1241,1021.632152
3/12/10 0:00,1340,1398,1435.189744
3/13/10 0:00,984,822,907.7243877
3/14/10 0:00,1204,1243,1424.887422
3/15/10 0:00,1371,938,1344.83305
3/16/10 0:00,728,994,937.3728343
3/17/10 0:00,1195,1151,949.6917824
3/18/10 0:00,761,1084,1000.723545
3/19/10 0:00,864,1355,1349.126137
3/20/10 0:00,939,857,853.6492483
3/21/10 0:00,1281,1256,1364.467813
3/22/10 0:00,935,1014,1067.694159
3/23/10 0:00,825,1003,861.2680202
3/24/10 0:00,1537,1140,968.097016
3/25/10 0:00,1425,897,1096.935114
3/26/10 0:00,1337,1104,1457.179786
3/27/10 0:00,795,876,860.3606672
3/28/10 0:00,1468,1198,1459.18654
3/29/10 0:00,1354,1027,1200.956801
3/30/10 0:00,930,854,1055.450389
3/31/10 0:00,958,1320,1069.319335
4/1/10 0:00,1291,1045,1280.555691
4/2/10 0:00,1054,1180,1331.145596
4/3/10 0:00,603,906,756.5224654
4/4/10 0:00,953,1318,1045.758082
4/5/10 0:00,1622,1220,1167.309062
4/6/10 0:00,772,828,896.648379
4/7/10 0:00,821,1230,951.7396759
4/8/10 0:00,1391,1159,1062.907117
4/9/10 0:00,1700,1085,1444.059255
4/10/10 0:00,723,779,818.793313
4/11/10 0:00,1585,1234,1423.371836
4/12/10 0:00,1051,1304,1095.430559
4/13/10 0:00,1269,842,877.4824689
4/14/10 0:00,760,1105,930.5324456
4/15/10 0:00,1156,1369,1208.938135
4/16/10 0:00,1552,1364,1447.738629
4/17/10 0:00,816,707,866.0659147
4/18/10 0:00,1192,1335,1398.405351
4/19/10 0:00,971,1342,994.6427699
4/20/10 0:00,633,990,789.0101865
4/21/10 0:00,989,846,855.5747494
4/22/10 0:00,1007,1279,992.2196691
4/23/10 0:00,1825,1435,1466.346191
4/24/10 0:00,885,714,925.5602945
4/25/10 0:00,1619,1243,1439.110802
4/26/10 0:00,755,1215,1096.613295
4/27/10 0:00,924,891,824.3572973
4/28/10 0:00,1335,857,918.8121607
4/29/10 0:00,969,1185,1056.724103
4/30/10 0:00,1021,1692,1351.401864
5/1/10 0:00,1018,808,900.4559829
5/2/10 0:00,1386,1465,1408.090462
5/3/10 0:00,899,926,1068.120942
5/4/10 0:00,685,942,887.8838948
5/5/10 0:00,1189,1028,915.1537337
5/6/10 0:00,1045,1044,1053.530517
5/7/10 0:00,1464,1466,1473.314181
5/8/10 0:00,786,906,896.679828
5/9/10 0:00,1107,1399,1263.682328
5/10/10 0:00,1147,875,1061.805717
5/11/10 0:00,1110,747,857.9806346
5/12/10 0:00,827,1171,909.7784642
5/13/10 0:00,1141,1007,1027.096677
5/14/10 0:00,1171,1437,1396.772458
5/15/10 0:00,756,896,1009.514404
5/16/10 0:00,1369,1371,1383.926064
5/17/10 0:00,748,934,1092.672147
5/18/10 0:00,771,906,876.3765743
5/19/10 0:00,1307,1117,890.5155188
5/20/10 0:00,1448,1052,999.5880465
5/21/10 0:00,1117,1219,1273.633525
5/22/10 0:00,986,853,706.2762982
5/23/10 0:00,1329,1287,1293.503343
5/24/10 0:00,987,931,1079.659787
5/25/10 0:00,1058,855,845.1426137
5/26/10 0:00,983,1108,845.294985
5/27/10 0:00,1112,1211,1050.579417
5/28/10 0:00,1402,1251,1469.284328
5/29/10 0:00,827,843,726.4997393
5/30/10 0:00,934,1268,1326.938754
5/31/10 0:00,902,961,1207.073116
6/1/10 0:00,1156,980,918.7683275
6/2/10 0:00,674,1039,882.8845607
6/3/10 0:00,1246,1234,983.4453801
6/4/10 0:00,1359,1230,1310.641137
6/5/10 0:00,761,856,758.1380178
6/6/10 0:00,1534,1211,1207.018941
6/7/10 0:00,714,879,858.7665258
6/8/10 0:00,1142,995,715.5199573
6/9/10 0:00,974,988,842.3679893
6/10/10 0:00,776,1269,903.8067527
6/11/10 0:00,1701,1293,1354.02717
6/12/10 0:00,827,858,835.0156737
6/13/10 0:00,1000,1266,1277.992098
6/14/10 0:00,977,868,1032.377341
6/15/10 0:00,907,1119,928.0266859
6/16/10 0:00,901,877,822.8801865
6/17/10 0:00,1384,1045,964.5191111
6/18/10 0:00,1316,1487,1393.560779
6/19/10 0:00,655,805,812.1516662
6/20/10 0:00,1286,1156,1258.991643
6/21/10 0:00,1346,864,1135.782079
6/22/10 0:00,919,1068,953.8451852
6/23/10 0:00,1104,850,1013.7339
6/24/10 0:00,1132,1135,1025.083525
6/25/10 0:00,920,1459,1312.739814
6/26/10 0:00,688,748,781.3229661
6/27/10 0:00,1313,1273,1315.407582
6/28/10 0:00,1040,1012,1137.284672
6/29/10 0:00,860,989,875.9951431
6/30/10 0:00,912,993,886.7857395
7/1/10 0:00,1147,1097,1059.624283
7/2/10 0:00,1339,1312,1369.89401
7/3/10 0:00,807,723,643.2170784
7/4/10 0:00,770,1200,939.9426881
7/5/10 0:00,1340,1121,996.1421863
7/6/10 0:00,777,895,932.9605409
7/7/10 0:00,957,972,1015.718807
7/8/10 0:00,1305,1221,1168.475795
7/9/10 0:00,1207,1192,1422.436148
7/10/10 0:00,710,717,868.7750671
7/11/10 0:00,1108,1123,1351.045911
7/12/10 0:00,1214,1242,1076.525891
7/13/10 0:00,445,852,846.8767578
7/14/10 0:00,689,991,804.8000879
7/15/10 0:00,794,1195,967.744893
7/16/10 0:00,3067,1155,1246.853763
7/17/10 0:00,482,735,677.5669752
7/18/10 0:00,1919,1064,1190.91023
7/19/10 0:00,1369,1198,1007.366301
7/20/10 0:00,520,694,816.5248099
7/21/10 0:00,562,853,856.9886
7/22/10 0:00,1095,1082,1019.829102
7/23/10 0:00,1574,1871,1427.935311
7/24/10 0:00,658,666,833.8049521
7/25/10 0:00,1103,1266,1330.106288
7/26/10 0:00,629,1308,931.1644129
7/27/10 0:00,1407,581,872.9032623
7/28/10 0:00,568,736,896.287139
7/29/10 0:00,975,1065,1018.431728
7/30/10 0:00,1251,1949,1340.666669
7/31/10 0:00,535,617,754.7665986
8/1/10 0:00,1513,1377,1488.668714
8/2/10 0:00,1140,1071,1071.043538
8/3/10 0:00,981,791,943.6122425
8/4/10 0:00,943,606,957.6222117
8/5/10 0:00,1279,955,1085.725746
8/6/10 0:00,1202,1964,1407.349407
8/7/10 0:00,642,558,881.1700615
8/8/10 0:00,1265,1512,1390.253254
8/9/10 0:00,1265,1046,998.9430569
8/10/10 0:00,556,969,790.2787384
8/11/10 0:00,599,691,886.093677
8/12/10 0:00,1064,1116,995.3726399
8/13/10 0:00,1862,1342,1463.153015
8/14/10 0:00,742,612,898.4876105
8/15/10 0:00,1570,1294,1564.89528
8/16/10 0:00,1187,1011,1151.567942
8/17/10 0:00,1197,981,1017.264163
8/18/10 0:00,889,703,1075.18879
8/19/10 0:00,1051,1106,1059.406759
8/20/10 0:00,1465,1438,1456.390667
8/21/10 0:00,684,640,902.6568451
8/22/10 0:00,1239,1449,1412.52542
8/23/10 0:00,1040,1197,1082.882736
8/24/10 0:00,965,911,899.3174096
8/25/10 0:00,1407,810,931.4456489
8/26/10 0:00,1024,1131,997.7555576
8/27/10 0:00,1048,1510,1371.285844
8/28/10 0:00,620,689,801.4413823
8/29/10 0:00,1234,1358,1249.561175
8/30/10 0:00,758,1164,870.3666782
8/31/10 0:00,888,906,762.1703926
9/1/10 0:00,802,965,940.2760659
9/2/10 0:00,996,1046,1057.535076
9/3/10 0:00,1553,1458,1509.9995
9/4/10 0:00,730,682,757.9760289
9/5/10 0:00,970,1348,1296.49781
9/6/10 0:00,821,995,994.8994812
9/7/10 0:00,1587,1017,1117.236586
9/8/10 0:00,605,1033,1108.968705
9/9/10 0:00,1003,1024,1178.238446
9/10/10 0:00,1962,1355,1482.658974
9/11/10 0:00,522,678,872.8085831
9/12/10 0:00,993,1148,1381.745015
9/13/10 0:00,1504,873,1085.880431
9/14/10 0:00,867,1147,888.2493868
9/15/10 0:00,1227,938,1154.709785
9/16/10 0:00,1040,1008,1123.296759
9/17/10 0:00,1066,1521,1451.58768
9/18/10 0:00,754,624,867.5065564
9/19/10 0:00,1208,1066,1360.624301
9/20/10 0:00,811,1028,977.776438
9/21/10 0:00,865,1114,857.6504789
9/22/10 0:00,860,878,906.6453605
9/23/10 0:00,1233,1013,997.5496359
9/24/10 0:00,1327,1527,1307.731888
9/25/10 0:00,939,669,744.2617872
9/26/10 0:00,1577,1057,1417.971719
9/27/10 0:00,1235,1045,1084.868954
9/28/10 0:00,1002,1106,821.9399446
9/29/10 0:00,1195,897,823.2295075
9/30/10 0:00,999,1092,939.2362684
10/1/10 0:00,1040,1452,1439.73479
10/2/10 0:00,910,738,878.6659994
10/3/10 0:00,1313,1259,1444.86493
10/4/10 0:00,1000,1183,1196.577108
10/5/10 0:00,850,911,996.6809531
10/6/10 0:00,929,1094,1017.784298
10/7/10 0:00,1166,1091,1102.101004
10/8/10 0:00,1406,1144,1446.780597
10/9/10 0:00,889,868,680.3376762
10/10/10 0:00,1489,1366,1177.840133
10/11/10 0:00,1103,1015,974.9104964
10/12/10 0:00,720,906,919.3898783
10/13/10 0:00,1158,995,948.4082295
10/14/10 0:00,1094,1133,1090.420339
10/15/10 0:00,1178,1258,1628.88353
10/16/10 0:00,813,913,887.9805137
10/17/10 0:00,1354,1460,1411.22262
10/18/10 0:00,839,1113,1050.19302
10/19/10 0:00,783,857,863.7056725
10/20/10 0:00,1582,1094,875.1488903
10/21/10 0:00,1093,1086,1031.864466
10/22/10 0:00,1307,1208,1351.00925
10/23/10 0:00,1152,871,882.3007327
10/24/10 0:00,1718,1385,1462.934069
10/25/10 0:00,911,981,1125.133369
10/26/10 0:00,779,784,887.4822004
10/27/10 0:00,845,1223,971.1083798
10/28/10 0:00,1168,1118,1096.556015
10/29/10 0:00,1388,1297,1514.673197
10/30/10 0:00,796,951,957.0677314
10/31/10 0:00,926,1520,1066.147553
11/1/10 0:00,1220,951,1092.088151
11/2/10 0:00,945,761,821.2613279
11/3/10 0:00,1266,1195,823.4417938
11/4/10 0:00,1018,1118,942.2511071
11/5/10 0:00,1375,1291,1324.93267
11/6/10 0:00,938,920,799.3408198
11/7/10 0:00,1344,1333,1301.235163
11/8/10 0:00,1392,990,993.4427383
11/9/10 0:00,863,836,788.6454471
11/10/10 0:00,675,1231,826.7307162
11/11/10 0:00,1360,1093,1219.695691
11/12/10 0:00,1350,1357,1485.51257
11/13/10 0:00,802,962,914.5135066
11/14/10 0:00,1376,1329,1456.437529
11/15/10 0:00,1040,1174,1266.699703
11/16/10 0:00,726,862,953.4929248
11/17/10 0:00,1114,929,1012.884246
11/18/10 0:00,1128,1182,1106.291454
11/19/10 0:00,1430,1371,1513.743279
11/20/10 0:00,915,845,974.3345037
11/21/10 0:00,1377,1215,1475.564087
11/22/10 0:00,1105,1217,1136.017424
11/23/10 0:00,637,845,886.7876033
11/24/10 0:00,1148,1018,1070.25342
11/25/10 0:00,1264,1169,1240.536866
11/26/10 0:00,1183,1385,1370.694569
11/27/10 0:00,644,885,817.8732658
11/28/10 0:00,732,1366,1063.034369
11/29/10 0:00,767,1179,874.8457183
11/30/10 0:00,1099,742,781.7051895
12/1/10 0:00,979,979,984.7679154
12/2/10 0:00,1438,1251,1148.839855
12/3/10 0:00,1419,1321,1464.001932
12/4/10 0:00,894,787,810.8505611
12/5/10 0:00,1797,1162,1359.719325
12/6/10 0:00,997,971,1007.962256
12/7/10 0:00,371,821,789.2177236
12/8/10 0:00,540,1080,744.1316483
12/9/10 0:00,1073,1277,848.07113
12/10/10 0:00,1547,1344,1456.262233
12/11/10 0:00,860,818,919.8082293
12/12/10 0:00,943,1302,1297.542634
12/13/10 0:00,598,956,809.453858
12/14/10 0:00,771,702,706.4624605
12/15/10 0:00,1017,889,935.7148365
12/16/10 0:00,1075,1258,946.3542677
12/17/10 0:00,1567,1383,1395.851155
12/18/10 0:00,847,799,879.8738146
12/19/10 0:00,1066,1157,1287.472653
12/20/10 0:00,838,787,944.9423665
12/21/10 0:00,723,747,777.6550349
12/22/10 0:00,791,845,807.1895246
12/23/10 0:00,1156,1195,994.1559167
12/24/10 0:00,1207,1511,1374.901089
12/25/10 0:00,638,867,392.0885428
12/26/10 0:00,1082,1269,1205.817138
12/27/10 0:00,856,811,895.6636889
12/28/10 0:00,816,622,851.423362
12/29/10 0:00,1032,783,962.2967254
12/30/10 0:00,1601,1101,1125.952813
12/31/10 0:00,775,1440,1482.447954
1/1/11 0:00,364,782,240.191958
1/2/11 0:00,1338,1030,1262.621012
1/3/11 0:00,739,764,861.4282315
1/4/11 0:00,1115,770,892.0181734
1/5/11 0:00,1317,947,979.2989433
1/6/11 0:00,881,1277,1086.550521
1/7/11 0:00,737,1183,1427.440328
1/8/11 0:00,843,616,928.8972586
1/9/11 0:00,1205,1162,1411.339324
1/10/11 0:00,1410,811,1139.520253
1/11/11 0:00,576,885,952.9965581
1/12/11 0:00,507,1047,943.7802006
1/13/11 0:00,1204,1213,1071.370895
1/14/11 0:00,1963,906,1594.49786
1/15/11 0:00,809,615,999.4976424
1/16/11 0:00,1136,1208,1271.323498
1/17/11 0:00,1902,1002,1867.915725
1/18/11 0:00,430,836,822.5647941
1/19/11 0:00,396,952,954.2450912
1/20/11 0:00,1181,1229,958.1023382
1/21/11 0:00,1524,1158,1480.732627
1/22/11 0:00,782,672,923.8136897
1/23/11 0:00,1262,1226,1446.286527
1/24/11 0:00,800,1350,1105.651571
1/25/11 0:00,556,707,941.0463048
1/26/11 0:00,1264,740,1042.915264
1/27/11 0:00,1306,1089,1132.552755
1/28/11 0:00,1492,1408,1461.870981
1/29/11 0:00,944,811,846.2897029
1/30/11 0:00,1373,1201,1408.248419
1/31/11 0:00,1063,1371,1135.984796
2/1/11 0:00,1081,521,1121.748867
2/2/11 0:00,907,722,1028.665657
2/3/11 0:00,1322,1230,1298.861965
2/4/11 0:00,1339,1660,1724.69347
2/5/11 0:00,741,845,1220.433391
2/6/11 0:00,811,1257,1006.89262
2/7/11 0:00,1123,1255,1274.246248
2/8/11 0:00,3123,689,1134.228043
2/9/11 0:00,562,856,1139.525573
2/10/11 0:00,1496,1270,1082.904662
2/11/11 0:00,1323,1452,1447.48054
2/12/11 0:00,940,822,916.1230256
2/13/11 0:00,1595,1149,1505.525022
2/14/11 0:00,1039,995,788.294681
2/15/11 0:00,708,1587,1085.766567
2/16/11 0:00,1032,911,935.0963327
2/17/11 0:00,1118,1375,1065.392429
2/18/11 0:00,1349,1385,1513.089114
2/19/11 0:00,650,875,774.6037458
2/20/11 0:00,1257,1260,1358.207047
2/21/11 0:00,2224,1075,2342.910583
2/22/11 0:00,675,1637,890.3736901
2/23/11 0:00,495,834,906.5073644
2/24/11 0:00,943,1312,1042.873066
2/25/11 0:00,1789,1337,1429.13641
2/26/11 0:00,920,777,920.7232942
2/27/11 0:00,1446,1221,1468.419141
2/28/11 0:00,1067,1462,1123.881422
3/1/11 0:00,727,1502,948.8712906
3/2/11 0:00,1058,696,955.8604594
3/3/11 0:00,1346,1186,1064.211611
3/4/11 0:00,1441,1487,1443.65684
3/5/11 0:00,823,837,887.845324
3/6/11 0:00,1168,1433,1432.762137
3/7/11 0:00,1021,1443,1135.057052
3/8/11 0:00,1150,703,848.4616974
3/9/11 0:00,1163,862,982.2754473
3/10/11 0:00,1300,1136,1103.847469
3/11/11 0:00,1551,1526,1474.738547
3/12/11 0:00,855,798,954.3119467
3/13/11 0:00,1309,1290,1442.297485
3/14/11 0:00,978,1437,1109.547508
3/15/11 0:00,879,851,1117.596032
3/16/11 0:00,1453,905,1035.122381
3/17/11 0:00,1127,1196,1096.313425
3/18/11 0:00,1165,1594,1480.895271
3/19/11 0:00,758,866,945.9894152
3/20/11 0:00,1126,1308,1430.220153
